council|district|province|project_title|project_type|raw_amount|amount_zmw|fiscal_year|source_url|narrative
Siavonga Town Council|Siavonga|Southern|SIAVONGA CONSTITUENCY AWARDS 384 YOUTHS FOR SKILLS DEVELOPMENT BURSARIES UNDER THE 2024 CDF ALLOCATION|Education & Skills Development|K6.7 million|6700000|2024|https://www.siavongacouncil.gov.zm/siavonga-constituency-awards-384-youths-for-skills-development-bursaries-under-the-2024-cdf-allocation/|About three hundred and eighty-four vulnerable youths from all 12 wards of Siavonga District have been awarded boarding and day skills development bursaries across accredited TEVETA institutions under the 2024 Constituency Development Fund allocation to promote local livelihoods in tourism and automotive trades.
Siavonga Town Council|Siavonga|Southern|SIAVONGA DISTRICT HOSPITAL RECEIVES K1.3M WORTH MEDICAL EQUIPMENT UNDER THE 2022 CDF FUNDING|Health|K1.3M|1300000|2022|https://www.siavongacouncil.gov.zm/siavonga-district-hospital-receives-k1-3m-worth-medical-equipment-under-the-2022-cdf-funding/|The Siavonga Town Council has officially handed over advanced diagnostic equipment, ultrasound machinery, and patient monitors valued at K1.3 million to Siavonga District Hospital to curb patient referrals across the border and to Lusaka.
Siavonga Town Council|Siavonga|Southern|SIAVONGA COUNCIL TO PROCURE A BULLDOZER MACHINE USING THE 2024 CDF FUNDING|Equipment & Machinery|K6 million|6000000|2024|https://www.siavongacouncil.gov.zm/siavonga-council-to-procure-a-bulldozer-machine-using-the-2024-cdf-funding/|Siavonga Town Council has set aside K6 million from the 2024 community projects component to procure a heavy-duty crawler bulldozer machine aimed at grading and opening inaccessible rural feeder roads in hilly valley terrains.
Siavonga Town Council|Siavonga|Southern|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AND STAFF OFFICE AT LUSITU PRIMARY SCHOOL|Education Infrastructure|K950,000|950000|2023|https://www.siavongacouncil.gov.zm/construction-of-1x3-classroom-block-at-lusitu-primary-school/|Commissioning of a fully furnished 1x3 modern classroom block including double staff offices and 120 twin desks at Lusitu Primary School to eliminate double-session overcrowding.
Siavonga Town Council|Siavonga|Southern|SOLAR-POWERED WATER RETICULATION AND BOREHOLE DRILLING SCHEME IN SIKOONGO WARD|Water & Sanitation|K780,000|780000|2023|https://www.siavongacouncil.gov.zm/solar-powered-water-reticulation-in-sikoongo-ward/|Installation of high-yield solar borehole pumps, overhead 10,000-litre storage tanks, and 4 communal distribution taps providing clean potable water to over 2,200 residents vulnerable to human-wildlife crocodile conflicts on Lake Kariba.
Siavonga Town Council|Siavonga|Southern|DISBURSEMENT OF CDF EMPOWERMENT GRANTS TO 45 WOMEN AND YOUTH COOPERATIVES|Economic Empowerment|K3.8 million|3800000|2024|https://www.siavongacouncil.gov.zm/disbursement-of-cdf-empowerment-grants-2024/|Handover of non-repayable empowerment seed capital grants totaling K3.8 million to 45 registered cooperatives engaged in aquaculture, kapenta drying, poultry, vegetable horticulture, and village banking.
Siavonga Town Council|Siavonga|Southern|CONSTRUCTION OF MATERNITY ANNEX AND SOLAR LIGHTING AT KARIBA HEALTH POST|Health|K1,150,000|1150000|2023|https://www.siavongacouncil.gov.zm/construction-of-maternity-annex-at-kariba-health-post/|Erection and equipping of an 8-bed capacity modern maternity annex complete with an incinerator, solar backup power, delivery beds, and clean running water.
Siavonga Town Council|Siavonga|Southern|DISBURSEMENT OF CONCESSIONAL EMPOWERMENT SOFT LOANS TO LOCAL ENTERPRISES|Economic Empowerment|K4.2 million|4200000|2024|https://www.siavongacouncil.gov.zm/disbursement-of-cdf-concessional-loans-2024/|Revolving low-interest loan portfolio distributed across 18 SME enterprises in commercial fishing, tourism transport, and cold-chain logistics through designated financial intermediaries.
Siavonga Town Council|Siavonga|Southern|PROCUREMENT AND DISTRIBUTION OF 2,500 SCHOOL DESKS ACROSS PRIMARY SCHOOLS IN SIAVONGA|Education Infrastructure|K2.1 million|2100000|2023|https://www.siavongacouncil.gov.zm/procurement-of-2500-school-desks-under-cdf/|Fulfillment of the presidential directive on desk provision, manufacturing 2,500 desks utilizing local youth artisans to ensure zero pupils sit on the floor across the district.
Siavonga Town Council|Siavonga|Southern|REHABILITATION AND SPOT GRAVELLING OF 22KM D500 RURAL ACCESS ROAD|Roads & Infrastructure|K1,650,000|1650000|2024|https://www.siavongacouncil.gov.zm/rehabilitation-of-22km-d500-feeder-road/|Spot gravelling, box culvert construction, and mitre drain excavation along the 22-kilometer stretch connecting agricultural valleys to the Siavonga-Lusaka highway.
Siavonga Town Council|Siavonga|Southern|CONSTRUCTION OF POLICE POST AND POLICE OFFICER STAFF ACCOMMODATION AT MATUA|Public Safety & Governance|K850,000|850000|2023|https://www.siavongacouncil.gov.zm/construction-of-matua-police-post/|Construction of security post cells, armory counter, and a semi-detached staff housing unit to curb border and lake smuggling and improve rapid security response.
Siavonga Town Council|Siavonga|Southern|SECONDARY SCHOOL BOARDING BURSARIES FOR 520 VULNERABLE LEARNERS|Education & Skills Development|K2.4 million|2400000|2024|https://www.siavongacouncil.gov.zm/secondary-school-bursaries-cdf-2024/|Full payment of boarding fees and educational materials for 520 orphaned and vulnerable secondary school learners enrolled in STEM and boarding schools.
Siavonga Town Council|Siavonga|Southern|EXPANSION OF COMMUNITY WATER KIOSKS IN KANYELELE INFORMAL SETTLEMENT|Water & Sanitation|K520,000|520000|2024|https://www.siavongacouncil.gov.zm/water-kiosks-kanyelele-settlement/|Construction of three regulated communal water tap kiosks connected to the Southern Water and Sanitation Company (SWASCO) main distribution line.
Siavonga Town Council|Siavonga|Southern|PROCUREMENT OF 4X4 MOTOR VEHICLE FOR CDF PROJECT MONITORING AND EVALUATION|Equipment & Machinery|K1.2 million|1200000|2023|https://www.siavongacouncil.gov.zm/procurement-of-cdf-monitoring-vehicle/|Acquisition of a dedicated heavy-duty field vehicle for the District Planning Unit to facilitate rigorous bi-weekly site inspections across rugged terrain.
