source_url|council|district|province|category|description|raw_amount|amount_zmw|fiscal_year
https://www.siavongacouncil.gov.zm/financial-reports-2024/|Siavonga Town Council|Siavonga|Southern|LGEF|Annual Local Government Equalisation Fund (LGEF) recurrent grant allocation pursuant to Act No. 28 of 2023 for staff payroll and operational stability|K14,250,000|14250000|2024
https://www.siavongacouncil.gov.zm/financial-reports-2025/|Siavonga Town Council|Siavonga|Southern|LGEF|Projected annual LGEF recurrent operational grant allocation|K16,800,000|16800000|2025
https://www.siavongacouncil.gov.zm/approved-budget-2024/|Siavonga Town Council|Siavonga|Southern|Budget|Full approved civic operating and capital expenditure budget for the financial year ending 31st December 2024|K42.6 million|42600000|2024
https://www.siavongacouncil.gov.zm/approved-budget-2025/|Siavonga Town Council|Siavonga|Southern|Budget|Approved civic revenue and expenditure estimates incorporating enhanced CDF ceilings and devolution grants|K51.3 million|51300000|2025
https://www.siavongacouncil.gov.zm/locally-generated-revenue-report/|Siavonga Town Council|Siavonga|Southern|Revenue/Levy|Locally generated revenue from Lake Kariba commercial fishing vessels, rig licenses, and kapenta fish levy|K3,450,000|3450000|2024
https://www.siavongacouncil.gov.zm/locally-generated-revenue-report/|Siavonga Town Council|Siavonga|Southern|Revenue/Levy|Hospitality, lodge tourism bed levy, and conference center municipal taxes|K1,890,000|1890000|2024
https://www.siavongacouncil.gov.zm/locally-generated-revenue-report/|Siavonga Town Council|Siavonga|Southern|Revenue/Rates|Property rates billed on commercial, residential and industrial valuation rolls|K4,120,000|4120000|2024
https://www.siavongacouncil.gov.zm/locally-generated-revenue-report/|Siavonga Town Council|Siavonga|Southern|Revenue/Fees|Market stall fees, bus station toll fees, and business trading permits|K1,140,000|1140000|2024
https://www.siavongacouncil.gov.zm/cdf-allocation-2024/|Siavonga Town Council|Siavonga|Southern|CDF|Constituency Development Fund statutory allocation for Siavonga Constituency|K30.6 million|30600000|2024
https://www.siavongacouncil.gov.zm/cdf-allocation-2026/|Siavonga Town Council|Siavonga|Southern|CDF|Statutory CDF increment under the Local Government (Amendment) Act No. 76 of 2026|K40 million|40000000|2026
